"update_day","country","asin","reserved_fc_transfer","inbound_receiving","in_stock","brand"
"2019-12-01","Jp","B07MFTWZXX","0","0","0","EE"
"2019-12-01","Jp","B07MM1JWXX","0","0","0","EE"
"2019-12-01","Us","B07QLPG8XX","2","70","201","EE"
"2019-12-01","Us","B07QFR2XXX","4","0","80","EE"
"2019-12-01","Us","B07QBPTNXX","0","0","352","EE"
"2019-12-01","Us","B07QBPSQXX","2","1","696","EE"
"2019-12-01","Us","B07QPR1PXX","0","0","556","EE"
"2019-12-01","Us","B07QW51WXX","1","0","36","EE"
"2019-12-01","Us","B07QY6R8XX","0","0","36","EE"
"2019-12-01","Us","B07QV4S8XX","0","0","70","EE"
"2019-12-01","Us","B07TB3QWXX","0","0","144","EE"
"2019-12-01","Us","B07QLPG6XX","0","0","336","EE"
"2019-12-01","Us","B07S4HN2XX","0","0","70","EE"
"2019-12-01","Us","B07QV4QTXX","0","0","29","EE"
"2019-12-01","Us","B07TB311XX","0","0","134","EE"
"2019-12-01","Us","B07S291NXX","0","0","55","EE"
"2019-12-01","Us","B07QZBDQXX","0","0","13","EE"
"2019-12-01","Us","B07R2KP9XX","0","0","15","EE"
"2019-12-01","Us","B07R1HZVXX","0","0","29","EE"
"2019-12-01","Us","B07TXCS3XX","0","0","0","EE"
"2019-12-01","Us","B07TXBGQXX","0","0","0","EE"
"2019-12-01","Us","B07S16PZXX","0","0","0","EE"
"2019-12-01","Us","B07QFR6VXX","0","0","0","EE"
"2019-12-01","Jp","B01M3V7XXX","0","0","184","DD"
"2019-12-01","Jp","B01MXRYKXX","0","0","0","DD"
"2019-12-01","Jp","B07WCSYQXX","0","0","0","BB"
"2019-12-01","Jp","B07R9XMRXX","0","0","80","BB"
"2019-12-01","Jp","B07R7PRDXX","0","0","66","BB"
"2019-12-01","Jp","B07R8TS8XX","0","0","23","BB"
"2019-12-01","Jp","B07FMMRPXX","0","0","0","BB"
"2019-12-01","Jp","B07FMRD7XX","0","0","0","BB"
"2019-12-01","Jp","B07FMS5ZXX","0","0","0","BB"
"2019-12-01","Jp","B07FMTGCXX","0","0","0","BB"
"2019-12-01","Jp","B07FMVH5XX","0","0","0","BB"
"2019-12-01","Jp","B07R5N79XX","0","0","0","BB"
"2019-12-01","Jp","B07WJKW8XX","0","0","0","BB"
"2019-12-01","Jp","B01N3CPTXX","0","0","0","BB"
"2019-12-01","Jp","B07FMSCBXX","0","0","0","BB"
"2019-12-01","Jp","B07VNCB3XX","0","0","99","CC"
"2019-12-01","Jp","B07R5RLPXX","0","0","33","CC"
"2019-12-01","Jp","B07RB45KXX","0","0","7","CC"
"2019-12-01","Jp","B07R8XZPXX","0","0","50","CC"
"2019-12-01","Jp","B07RB45XXX","0","0","8","CC"
"2019-12-01","Jp","B07VPBDCXX","0","0","20","CC"
"2019-12-01","Jp","B07VPB83XX","0","0","0","CC"
"2019-12-01","Us","B075M4S2XX","0","0","76","BB"
"2019-12-01","Us","B075M1F4XX","1","0","259","BB"
"2019-12-01","Us","B07NRMHVXX","0","0","605","BB"
"2019-12-01","Us","B06ZZRQLXX","1","0","117","BB"
"2019-12-01","Ca","B072BP12XX","0","0","8","BB"
"2019-12-01","Ca","B0748DQ4XX","0","0","0","BB"
"2019-12-01","Us","B06ZZRQKXX","0","0","231","BB"
"2019-12-01","Us","B07JXYLXXX","0","0","223","BB"
"2019-12-01","Us","B07PX249XX","1","0","1","BB"
"2019-12-01","Ca","B071NTQRXX","0","0","0","BB"
"2019-12-01","Us","B07J4S5DXX","0","0","0","BB"
"2019-12-01","Us","B07Q2BHCXX","0","0","56","BB"
"2019-12-01","Us","B07JNVGFXX","0","0","0","BB"
"2019-12-01","Us","B07JW2WSXX","0","0","0","BB"
"2019-12-01","Us","B07NRMHCXX","1","0","83","BB"
"2019-12-01","Ca","B071S19TXX","0","0","0","BB"
"2019-12-01","Us","B07JPL8HXX","0","0","0","BB"
"2019-12-01","Us","B07JXYSLXX","0","0","0","BB"
"2019-12-01","Us","B07G72ZBXX","0","0","0","BB"
"2019-12-01","Ca","B071RZWGXX","0","0","0","BB"
"2019-12-01","Us","B07JD8ZHXX","0","0","0","BB"
"2019-12-01","Us","B07JPZXMXX","0","0","0","BB"
"2019-12-01","Us","B07HNJZDXX","0","0","0","BB"
"2019-12-01","Ca","B06X9SVKXX","0","0","0","BB"
"2019-12-01","Ca","B06X9PYTXX","0","0","0","BB"
"2019-12-01","Us","B07G72DCXX","0","0","0","BB"
"2019-12-01","Us","B07TB311XX","0","0","0","BB"
"2019-12-01","Us","B07TB3QWXX","0","0","0","BB"
"2019-12-01","Ca","B07HT2LGXX","0","0","0","BB"
"2019-12-01","Ca","B07H9QKRXX","0","0","0","BB"
"2019-12-01","Us","B07S16PZXX","0","0","0","BB"
"2019-12-01","Us","B07S291NXX","0","0","0","BB"
"2019-12-01","Us","B07RLB6MXX","0","0","0","BB"
"2019-12-01","Ca","B07HSTZZXX","0","0","0","BB"
"2019-12-01","Us","B06ZYMBCXX","0","0","0","BB"
"2019-12-01","Ca","B07435TMXX","0","0","0","BB"
"2019-12-01","Us","B075DF4PXX","0","0","0","BB"
"2019-12-01","Us","B06ZYL1HXX","0","0","0","BB"
"2019-12-01","Mx","B06W9HGHXX","0","0","0","BB"
"2019-12-01","Ca","B07HSTK9XX","0","0","0","BB"
"2019-12-01","Ca","B076963HXX","0","0","0","BB"
"2019-12-01","Ca","B072BPDGXX","0","0","0","BB"
"2019-12-01","Us","B07RGYQ7XX","0","0","0","BB"
"2019-12-01","Ca","B07HSP42XX","0","0","0","BB"
"2019-12-01","Ca","B0769CHZXX","0","0","0","BB"
"2019-12-01","Us","B071R5J3XX","0","0","0","BB"
"2019-12-01","Ca","B071VMLKXX","0","0","0","BB"
"2019-12-01","Us","B07G74F2XX","0","0","0","BB"
"2019-12-01","Us","B075M1Y9XX","0","0","0","BB"
"2019-12-01","Us","B07JW4RNXX","0","0","0","BB"
"2019-12-01","Us","B06W9HGHXX","0","0","0","BB"
"2019-12-01","Us","B071CF8TXX","0","0","0","BB"
"2019-12-01","Us","B07S4HN2XX","0","0","0","BB"
"2019-12-01","Ca","B07HSPMSXX","0","0","0","BB"
"2019-12-01","Ca","B076BKG4XX","0","0","0","BB"
"2019-12-01","Ca","B07H9P78XX","0","0","0","BB"
"2019-12-01","Ca","B071L7RYXX","0","0","0","BB"
"2019-12-01","Us","B07PR959XX","1","0","82","DD"
"2019-12-01","Us","B07MDYLMXX","0","0","59","DD"
"2019-12-01","Us","B01M29YGXX","0","0","86","DD"
"2019-12-01","Ca","B01F3DHEXX","0","0","67","DD"
"2019-12-01","Us","B07PQ5XNXX","0","0","198","DD"
"2019-12-01","Us","B07RYKZBXX","0","0","44","DD"
"2019-12-01","Us","B07HNXPXXX","0","0","214","DD"
"2019-12-01","Ca","B019R84IXX","0","0","16","DD"
"2019-12-01","Us","B07S2QGSXX","1","0","97","DD"
"2019-12-01","Ca","B06VTR57XX","0","0","343","DD"
"2019-12-01","Us","B01N4876XX","0","0","106","DD"
"2019-12-01","Us","B07HNTJ5XX","0","0","153","DD"
"2019-12-01","Ca","B06XGYNVXX","0","0","0","DD"
"2019-12-01","Us","B07HNXVZXX","0","0","177","DD"
"2019-12-01","Us","B07PT5WLXX","0","0","0","DD"
"2019-12-01","Ca","B01M3102XX","0","0","0","DD"
"2019-12-01","Ca","B01M3RWQXX","0","0","0","DD"
"2019-12-01","Us","B07HMQSFXX","0","0","0","DD"
"2019-12-01","Us","B07HMG2WXX","0","0","0","DD"
"2019-12-01","Ca","B01N0OVBXX","0","0","0","DD"
"2019-12-01","Us","B07MWZPXXX","0","0","0","DD"
"2019-12-01","Us","B07QV4S8XX","0","0","0","DD"
"2019-12-01","Us","B07HMJCGXX","0","0","0","DD"
"2019-12-01","Us","B07J5411XX","0","0","0","DD"
"2019-12-01","Us","B07HMM9TXX","0","0","0","DD"
"2019-12-01","Us","B07TXCS3XX","0","0","0","DD"
"2019-12-01","Us","B019PV1UXX","0","0","0","DD"
"2019-12-01","Us","B073J7ZNXX","0","0","0","DD"
"2019-12-01","Us","B07TXBGQXX","0","0","0","DD"
"2019-12-01","Us","B019PZ13XX","0","0","0","DD"
"2019-12-01","Us","B07L6D68XX","0","0","0","DD"
"2019-12-01","Us","B07QLPG6XX","0","0","0","DD"
"2019-12-01","Us","B07R2KP9XX","0","0","0","DD"
"2019-12-01","Us","B07QY6R8XX","0","0","0","DD"
"2019-12-01","Us","B07QPR1PXX","0","0","0","DD"
"2019-12-01","Us","B07L6BMBXX","0","0","0","DD"
"2019-12-01","Us","B07L71KCXX","0","0","0","DD"
"2019-12-01","Us","B07R1HZVXX","0","0","0","DD"
"2019-12-01","Ca","B01N4876XX","0","0","0","DD"
"2019-12-01","Us","B071D1GNXX","0","0","0","DD"
"2019-12-01","Us","B019R84IXX","0","0","0","DD"
"2019-12-01","Us","B07HK9F5XX","0","0","0","DD"
"2019-12-01","Ca","B01M29YGXX","0","0","0","DD"
"2019-12-01","Ca","B01MG4A4XX","0","0","0","DD"
"2019-12-01","Ca","B01N8PBXXX","0","0","0","DD"
"2019-12-01","Ca","B01M8M3EXX","0","0","0","DD"
"2019-12-01","Ca","B01M4MX7XX","0","0","0","DD"
"2019-12-01","Us","B07HMRPGXX","0","0","0","DD"
"2019-12-01","Us","B07JZKP5XX","0","0","0","DD"
"2019-12-01","Us","B07MTZYYXX","0","0","0","DD"
"2019-12-01","Us","B019PYR7XX","0","0","0","DD"
"2019-12-01","Us","B07L6B9SXX","0","0","0","DD"
"2019-12-01","Us","B07QV4QTXX","0","0","0","DD"
"2019-12-01","Us","B07QW51WXX","0","0","0","DD"
"2019-12-01","Us","B07QLPG8XX","0","0","0","DD"
"2019-12-01","Ca","B073J7ZNXX","0","0","0","DD"
"2019-12-01","Us","B07QZBDQXX","0","0","0","DD"
"2019-12-01","Us","B07KF8L7XX","1","1","1165","CC"
"2019-12-01","Us","B07HDYXTXX","0","0","0","CC"
"2019-12-01","Ca","B078NTCXXX","0","0","0","CC"
"2019-12-01","Us","B077ZRP3XX","3","100","424","CC"
"2019-12-01","Us","B078NVL7XX","10","200","690","CC"
"2019-12-01","Us","B07DJ4ZGXX","1","0","788","CC"
"2019-12-01","Us","B07DJ3WCXX","0","0","709","CC"
"2019-12-01","Us","B07DJ429XX","0","20","525","CC"
"2019-12-01","Us","B07Y4ZTBXX","0","19","492","CC"
"2019-12-01","Us","B07PSGNTXX","0","0","375","CC"
"2019-12-01","Us","B07DJ32VXX","1","0","140","CC"
"2019-12-01","Us","B07TSH3BXX","0","0","172","CC"
"2019-12-01","Ca","B078NT86XX","0","0","133","CC"
"2019-12-01","Us","B07DJ3B1XX","0","0","0","CC"
"2019-12-01","Us","B07VMXD6XX","0","0","99","CC"
"2019-12-01","Us","B07FNP5XXX","0","0","52","CC"
"2019-12-01","Us","B07FNPP7XX","0","0","192","CC"
"2019-12-01","Us","B07TYV11XX","0","0","114","CC"
"2019-12-01","Us","B07TB878XX","0","0","0","CC"
"2019-12-01","Us","B07QFR6VXX","0","0","0","CC"
"2019-12-01","Us","B07QBPSQXX","0","0","0","CC"
"2019-12-01","Us","B07QBPTNXX","0","0","0","CC"
"2019-12-01","Us","B07Y4ZM6XX","0","0","0","CC"
"2019-12-01","Us","B07FNMKFXX","0","0","0","CC"
"2019-12-01","Ca","B072LW84XX","0","0","34","AA"
"2019-12-01","Us","B07WYXSMXX","0","0","0","AA"
"2019-12-01","Ca","B074M766XX","0","0","151","AA"
"2019-12-01","Us","B07WJYSSXX","1","0","387","AA"
"2019-12-01","Us","B071FH4HXX","0","0","91","AA"
"2019-12-01","Ca","B074M6KGXX","0","0","301","AA"
"2019-12-01","Us","B07PQLD9XX","0","0","28","AA"
"2019-12-01","Us","B07TS5LSXX","0","0","107","AA"
"2019-12-01","Us","B07WNT69XX","0","0","125","AA"
"2019-12-01","Us","B07PRL2MXX","0","0","77","AA"
"2019-12-01","Us","B07PN9S8XX","0","0","82","AA"
"2019-12-01","Us","B07PPGQZXX","0","0","39","AA"
"2019-12-01","Ca","B072XDH9XX","0","0","0","AA"
"2019-12-01","Ca","B072PRCLXX","0","0","0","AA"
"2019-12-01","Us","B07WMMMDXX","0","0","0","AA"
"2019-12-01","Ca","B074N285XX","0","0","0","AA"
"2019-12-01","Us","B07KY3P1XX","0","0","0","AA"
"2019-12-01","Us","B07S3S97XX","0","0","0","AA"
"2019-12-01","Us","B07S1M58XX","0","0","0","AA"
"2019-12-01","Ca","B072FPR1XX","0","0","0","AA"
"2019-12-01","Ca","B072LW5WXX","0","0","0","AA"
"2019-12-01","Ca","B074M715XX","0","0","0","AA"
"2019-12-01","Ca","B07TS5LSXX","0","0","0","AA"
"2019-12-01","Ca","B07PN9S8XX","0","0","0","AA"
"2019-12-01","Us","B07WFS4GXX","0","0","0","AA"
"2019-12-01","Ca","B07GZH2SXX","0","0","0","AA"
"2019-12-01","Ca","B072J9CLXX","0","0","0","AA"
"2019-12-01","Us","B07175B6XX","0","0","0","AA"
"2019-12-01","Ca","B0723BLSXX","0","0","0","AA"
"2019-12-01","Ca","B07PQLD9XX","0","0","0","AA"
"2019-12-01","Ca","B07PPGQZXX","0","0","0","AA"
"2019-12-01","Ca","B07PRL2MXX","0","0","0","AA"
"2019-12-01","Us","B07YDFJXXX","0","0","0","AA"
"2019-12-01","Ca","B07WMMMDXX","0","0","0","AA"
"2019-12-01","Ca","B07GYL5TXX","0","0","0","AA"
"2019-12-01","Ca","B07175FDXX","0","0","0","AA"
"2019-12-01","Us","B0723BHNXX","0","0","0","AA"
"2019-12-01","Jp","B07XCMZ1XX","0","0","102","AA"
"2019-12-01","Jp","B07D8RK7XX","0","0","0","AA"
"2019-12-01","Jp","B07X9LFKXX","0","0","136","AA"
"2019-12-01","Jp","B07D8QY9XX","0","0","0","AA"
"2019-12-01","Jp","B07YC966XX","0","0","0","AA"
"2019-12-01","Jp","B07YC7LQXX","0","0","0","AA"
"2019-12-01","Jp","B07TXNKJXX","0","0","164","AA"
"2019-12-02","Us","B07QLPG8XX","1","70","183","EE"
"2019-12-02","Us","B07QFR2XXX","4","0","74","EE"
"2019-12-02","Us","B07QBPTNXX","0","0","338","EE"
"2019-12-02","Us","B07QBPSQXX","2","1","686","EE"
"2019-12-02","Us","B07QPR1PXX","0","0","557","EE"
"2019-12-02","Us","B07QW51WXX","1","0","36","EE"
"2019-12-02","Us","B07QV4S8XX","0","0","66","EE"
"2019-12-02","Us","B07QY6R8XX","0","0","36","EE"
"2019-12-02","Us","B07QLPG6XX","0","0","333","EE"
"2019-12-02","Us","B07TB3QWXX","0","0","144","EE"
"2019-12-02","Us","B07QV4QTXX","0","0","29","EE"
"2019-12-02","Us","B07S4HN2XX","0","0","70","EE"
"2019-12-02","Us","B07TB311XX","0","0","134","EE"
"2019-12-02","Us","B07S291NXX","0","0","55","EE"
"2019-12-02","Us","B07QZBDQXX","0","0","13","EE"
"2019-12-02","Us","B07R2KP9XX","0","0","15","EE"
"2019-12-02","Us","B07R1HZVXX","0","0","28","EE"
"2019-12-02","Us","B07TXCS3XX","0","0","0","EE"
"2019-12-02","Us","B07TXBGQXX","0","0","0","EE"
"2019-12-02","Us","B07S16PZXX","0","0","0","EE"
"2019-12-02","Us","B07QFR6VXX","0","0","0","EE"
"2019-12-02","Jp","B07MFTWZXX","0","0","0","EE"
"2019-12-02","Jp","B07MM1JWXX","0","0","0","EE"
"2019-12-02","Jp","B07WCSYQXX","0","0","0","BB"
"2019-12-02","Jp","B07R9XMRXX","0","0","78","BB"
"2019-12-02","Jp","B07R7PRDXX","0","0","65","BB"
"2019-12-02","Jp","B07R8TS8XX","0","0","23","BB"
"2019-12-02","Jp","B07FMMRPXX","0","0","0","BB"
"2019-12-02","Jp","B07FMRD7XX","0","0","0","BB"
"2019-12-02","Jp","B07FMS5ZXX","0","0","0","BB"
"2019-12-02","Jp","B07FMTGCXX","0","0","0","BB"
"2019-12-02","Jp","B07FMVH5XX","0","0","0","BB"
"2019-12-02","Jp","B07R5N79XX","0","0","0","BB"
"2019-12-02","Jp","B07WJKW8XX","0","0","0","BB"
"2019-12-02","Jp","B01N3CPTXX","0","0","0","BB"
"2019-12-02","Jp","B07FMSCBXX","0","0","0","BB"
"2019-12-02","Us","B07KF8L7XX","0","1","1132","CC"
"2019-12-02","Us","B07HDYXTXX","0","0","0","CC"
"2019-12-02","Ca","B078NTCXXX","0","0","0","CC"
"2019-12-02","Us","B077ZRP3XX","2","100","371","CC"
"2019-12-02","Us","B078NVL7XX","8","200","654","CC"
"2019-12-02","Us","B07DJ4ZGXX","0","0","775","CC"
"2019-12-02","Us","B07DJ3WCXX","1","0","696","CC"
"2019-12-02","Us","B07DJ429XX","0","20","501","CC"
"2019-12-02","Us","B07Y4ZTBXX","0","19","466","CC"
"2019-12-02","Us","B07PSGNTXX","0","0","365","CC"
"2019-12-02","Us","B07DJ32VXX","1","0","133","CC"
"2019-12-02","Ca","B078NT86XX","0","0","129","CC"
"2019-12-02","Us","B07TSH3BXX","0","0","168","CC"
"2019-12-02","Us","B07FNP5XXX","0","0","11","CC"
"2019-12-02","Us","B07DJ3B1XX","0","0","0","CC"
"2019-12-02","Us","B07VMXD6XX","0","0","99","CC"
"2019-12-02","Us","B07FNPP7XX","0","0","189","CC"
"2019-12-02","Us","B07TYV11XX","0","0","113","CC"
"2019-12-02","Us","B07TB878XX","0","0","0","CC"
"2019-12-02","Us","B07QFR6VXX","0","0","0","CC"
"2019-12-02","Us","B07QBPSQXX","0","0","0","CC"
"2019-12-02","Us","B07Y4ZM6XX","0","0","0","CC"
"2019-12-02","Us","B07FNMKFXX","0","0","0","CC"
"2019-12-02","Us","B07QBPTNXX","0","0","0","CC"
"2019-12-02","Jp","B07VNCB3XX","0","0","98","CC"
"2019-12-02","Jp","B07R5RLPXX","0","0","33","CC"
"2019-12-02","Jp","B07RB45KXX","0","0","7","CC"
"2019-12-02","Jp","B07R8XZPXX","0","0","50","CC"
"2019-12-02","Jp","B07RB45XXX","0","0","8","CC"
"2019-12-02","Jp","B07VPBDCXX","0","0","20","CC"
"2019-12-02","Jp","B07VPB83XX","0","0","0","CC"
"2019-12-02","Jp","B07XCMZ1XX","0","0","102","AA"
"2019-12-02","Jp","B07D8RK7XX","0","0","0","AA"
"2019-12-02","Jp","B07X9LFKXX","0","0","135","AA"
"2019-12-02","Jp","B07D8QY9XX","0","0","0","AA"
"2019-12-02","Jp","B07YC966XX","0","0","0","AA"
"2019-12-02","Jp","B07YC7LQXX","0","0","0","AA"
"2019-12-02","Jp","B07TXNKJXX","0","0","164","AA"
"2019-12-02","Us","B075M4S2XX","0","0","72","BB"
"2019-12-02","Us","B075M1F4XX","1","0","244","BB"
"2019-12-02","Us","B07NRMHVXX","0","0","602","BB"
"2019-12-02","Us","B06ZZRQLXX","1","0","115","BB"
"2019-12-02","Ca","B072BP12XX","0","0","7","BB"
"2019-12-02","Ca","B0748DQ4XX","0","0","0","BB"
"2019-12-02","Us","B06ZZRQKXX","0","0","222","BB"
"2019-12-02","Us","B07JXYLXXX","0","0","217","BB"
"2019-12-02","Us","B07PX249XX","1","0","1","BB"
"2019-12-02","Ca","B071NTQRXX","0","0","0","BB"
"2019-12-02","Us","B07J4S5DXX","0","0","0","BB"
"2019-12-02","Us","B07Q2BHCXX","0","0","56","BB"
"2019-12-02","Us","B07JNVGFXX","0","0","0","BB"
"2019-12-02","Us","B07JW2WSXX","0","0","0","BB"
"2019-12-02","Us","B07NRMHCXX","1","0","83","BB"
"2019-12-02","Ca","B071S19TXX","0","0","0","BB"
"2019-12-02","Us","B07JPL8HXX","0","0","0","BB"
"2019-12-02","Us","B07JXYSLXX","0","0","0","BB"
"2019-12-02","Us","B07G72ZBXX","0","0","0","BB"
"2019-12-02","Ca","B071RZWGXX","0","0","0","BB"
"2019-12-02","Us","B07JD8ZHXX","0","0","0","BB"
"2019-12-02","Us","B07HNJZDXX","0","0","0","BB"
"2019-12-02","Us","B07JPZXMXX","0","0","0","BB"
"2019-12-02","Ca","B06X9SVKXX","0","0","0","BB"
"2019-12-02","Ca","B06X9PYTXX","0","0","0","BB"
"2019-12-02","Us","B07G72DCXX","0","0","0","BB"
"2019-12-02","Us","B07TB311XX","0","0","0","BB"
"2019-12-02","Us","B07TB3QWXX","0","0","0","BB"
"2019-12-02","Ca","B07HT2LGXX","0","0","0","BB"
"2019-12-02","Ca","B07H9QKRXX","0","0","0","BB"
"2019-12-02","Us","B07S16PZXX","0","0","0","BB"
"2019-12-02","Us","B07S291NXX","0","0","0","BB"
"2019-12-02","Us","B07RLB6MXX","0","0","0","BB"
"2019-12-02","Ca","B07HSTZZXX","0","0","0","BB"
"2019-12-02","Us","B06ZYMBCXX","0","0","0","BB"
"2019-12-02","Ca","B07435TMXX","0","0","0","BB"
"2019-12-02","Us","B075DF4PXX","0","0","0","BB"
"2019-12-02","Us","B06ZYL1HXX","0","0","0","BB"
"2019-12-02","Mx","B06W9HGHXX","0","0","0","BB"
"2019-12-02","Ca","B07HSTK9XX","0","0","0","BB"
"2019-12-02","Ca","B076963HXX","0","0","0","BB"
"2019-12-02","Ca","B072BPDGXX","0","0","0","BB"
"2019-12-02","Us","B07RGYQ7XX","0","0","0","BB"
"2019-12-02","Ca","B07HSP42XX","0","0","0","BB"
"2019-12-02","Ca","B0769CHZXX","0","0","0","BB"
"2019-12-02","Us","B071R5J3XX","0","0","0","BB"
"2019-12-02","Ca","B071VMLKXX","0","0","0","BB"
"2019-12-02","Us","B07G74F2XX","0","0","0","BB"
"2019-12-02","Us","B075M1Y9XX","0","0","0","BB"
"2019-12-02","Us","B07JW4RNXX","0","0","0","BB"
"2019-12-02","Us","B06W9HGHXX","0","0","0","BB"
"2019-12-02","Us","B071CF8TXX","0","0","0","BB"
"2019-12-02","Us","B07S4HN2XX","0","0","0","BB"
"2019-12-02","Ca","B07HSPMSXX","0","0","0","BB"
"2019-12-02","Ca","B076BKG4XX","0","0","0","BB"
"2019-12-02","Ca","B07H9P78XX","0","0","0","BB"
"2019-12-02","Ca","B071L7RYXX","0","0","0","BB"
"2019-12-02","Jp","B01M3V7XXX","0","0","170","DD"
"2019-12-02","Jp","B01MXRYKXX","0","0","0","DD"
"2019-12-02","Us","B07PR959XX","1","0","76","DD"
"2019-12-02","Us","B07MDYLMXX","0","0","46","DD"
"2019-12-02","Us","B01M29YGXX","0","0","78","DD"
"2019-12-02","Ca","B01F3DHEXX","0","0","62","DD"
"2019-12-02","Us","B07PQ5XNXX","0","0","194","DD"
"2019-12-02","Us","B07RYKZBXX","0","0","35","DD"
"2019-12-02","Us","B07HNXPXXX","1","0","212","DD"
"2019-12-02","Ca","B019R84IXX","0","0","7","DD"
"2019-12-02","Ca","B06VTR57XX","0","0","336","DD"
"2019-12-02","Us","B07S2QGSXX","1","0","97","DD"
"2019-12-02","Us","B01N4876XX","0","0","106","DD"
"2019-12-02","Ca","B06XGYNVXX","0","0","0","DD"
"2019-12-02","Us","B07HNTJ5XX","0","0","153","DD"
"2019-12-02","Us","B07HNXVZXX","0","0","176","DD"
"2019-12-02","Us","B07PT5WLXX","0","0","0","DD"
"2019-12-02","Ca","B01M3102XX","0","0","0","DD"
"2019-12-02","Ca","B01M3RWQXX","0","0","0","DD"
"2019-12-02","Us","B07HMQSFXX","0","0","0","DD"
"2019-12-02","Us","B07HMG2WXX","0","0","0","DD"
"2019-12-02","Ca","B01N0OVBXX","0","0","0","DD"
"2019-12-02","Us","B07MWZPXXX","0","0","0","DD"
"2019-12-02","Us","B07QV4S8XX","0","0","0","DD"
"2019-12-02","Us","B07HMJCGXX","0","0","0","DD"
"2019-12-02","Us","B07J5411XX","0","0","0","DD"
"2019-12-02","Us","B07HMM9TXX","0","0","0","DD"
"2019-12-02","Us","B07TXCS3XX","0","0","0","DD"
"2019-12-02","Us","B019PV1UXX","0","0","0","DD"
"2019-12-02","Us","B073J7ZNXX","0","0","0","DD"
"2019-12-02","Us","B07TXBGQXX","0","0","0","DD"
"2019-12-02","Us","B019PZ13XX","0","0","0","DD"
"2019-12-02","Us","B07L6D68XX","0","0","0","DD"
"2019-12-02","Us","B07QLPG6XX","0","0","0","DD"
"2019-12-02","Us","B07R2KP9XX","0","0","0","DD"
"2019-12-02","Us","B07QY6R8XX","0","0","0","DD"
"2019-12-02","Us","B07QPR1PXX","0","0","0","DD"
"2019-12-02","Us","B07L6BMBXX","0","0","0","DD"
"2019-12-02","Us","B07L71KCXX","0","0","0","DD"
"2019-12-02","Us","B07R1HZVXX","0","0","0","DD"
"2019-12-02","Us","B071D1GNXX","0","0","0","DD"
"2019-12-02","Ca","B01N4876XX","0","0","0","DD"
"2019-12-02","Us","B07HK9F5XX","0","0","0","DD"
"2019-12-02","Us","B019R84IXX","0","0","0","DD"
"2019-12-02","Ca","B01M29YGXX","0","0","0","DD"
"2019-12-02","Ca","B01MG4A4XX","0","0","0","DD"
"2019-12-02","Ca","B01N8PBXXX","0","0","0","DD"
"2019-12-02","Ca","B01M8M3EXX","0","0","0","DD"
"2019-12-02","Ca","B01M4MX7XX","0","0","0","DD"
"2019-12-02","Us","B07HMRPGXX","0","0","0","DD"
"2019-12-02","Us","B07JZKP5XX","0","0","0","DD"
"2019-12-02","Us","B07MTZYYXX","0","0","0","DD"
"2019-12-02","Us","B019PYR7XX","0","0","0","DD"
"2019-12-02","Us","B07L6B9SXX","0","0","0","DD"
"2019-12-02","Us","B07QV4QTXX","0","0","0","DD"
"2019-12-02","Us","B07QW51WXX","0","0","0","DD"
"2019-12-02","Us","B07QLPG8XX","0","0","0","DD"
"2019-12-02","Ca","B073J7ZNXX","0","0","0","DD"
"2019-12-02","Us","B07QZBDQXX","0","0","0","DD"
"2019-12-02","Ca","B072LW84XX","0","0","28","AA"
"2019-12-02","Us","B071FH4HXX","0","0","83","AA"
"2019-12-02","Us","B07WYXSMXX","0","0","0","AA"
"2019-12-02","Us","B07WJYSSXX","1","0","379","AA"
"2019-12-02","Ca","B074M766XX","0","0","146","AA"
"2019-12-02","Ca","B074M6KGXX","0","0","299","AA"
"2019-12-02","Us","B07PQLD9XX","0","0","27","AA"
"2019-12-02","Us","B07TS5LSXX","0","0","101","AA"
"2019-12-02","Us","B07PRL2MXX","0","0","74","AA"
"2019-12-02","Us","B07WNT69XX","0","0","125","AA"
"2019-12-02","Us","B07PN9S8XX","0","0","82","AA"
"2019-12-02","Us","B07PPGQZXX","0","0","39","AA"
"2019-12-02","Ca","B072XDH9XX","0","0","0","AA"
"2019-12-02","Ca","B072PRCLXX","0","0","0","AA"
"2019-12-02","Us","B07WMMMDXX","0","0","0","AA"
"2019-12-02","Ca","B074N285XX","0","0","0","AA"
"2019-12-02","Ca","B07GZH2SXX","0","0","0","AA"
"2019-12-02","Ca","B072J9CLXX","0","0","0","AA"
"2019-12-02","Us","B07175B6XX","0","0","0","AA"
"2019-12-02","Ca","B0723BLSXX","0","0","0","AA"
"2019-12-02","Ca","B07PQLD9XX","0","0","0","AA"
"2019-12-02","Ca","B07PPGQZXX","0","0","0","AA"
"2019-12-02","Ca","B07PRL2MXX","0","0","0","AA"
"2019-12-02","Us","B07YDFJXXX","0","0","0","AA"
"2019-12-02","Ca","B07WMMMDXX","0","0","0","AA"
"2019-12-02","Ca","B07GYL5TXX","0","0","0","AA"
"2019-12-02","Ca","B07175FDXX","0","0","0","AA"
"2019-12-02","Us","B0723BHNXX","0","0","0","AA"
"2019-12-02","Us","B07KY3P1XX","0","0","0","AA"
"2019-12-02","Us","B07S3S97XX","0","0","0","AA"
"2019-12-02","Ca","B072LW5WXX","0","0","0","AA"
"2019-12-02","Us","B07S1M58XX","0","0","0","AA"
